transaction_id,customer_id,merchant_id,amount,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description,hour,day_of_week,month,card_type_enc,location_enc,purchase_category_enc,predicted_is_fraudulent
1,1082,2027,5758.59,0,MasterCard,City-30,Gas Station,43,Purchase at Merchant-2027,0,6,1,2,23,0,0
2,1015,2053,1901.56,1,Visa,City-47,Online Shopping,61,Purchase at Merchant-2053,0,6,1,3,41,2,1
3,1004,2035,1248.86,1,MasterCard,City-6,Gas Station,57,Purchase at Merchant-2035,0,6,1,2,46,0,1
4,1095,2037,7619.05,1,Discover,City-6,Travel,59,Purchase at Merchant-2037,0,6,1,1,46,5,1
5,1036,2083,1890.1,1,MasterCard,City-34,Retail,36,Purchase at Merchant-2083,0,6,1,2,27,4,1
6,1032,2021,8487.68,1,American Express,City-1,Gas Station,43,Purchase at Merchant-2021,0,6,1,0,0,0,1
7,1029,2033,7565.3,1,Visa,City-7,Online Shopping,19,Purchase at Merchant-2033,0,6,1,3,47,2,1
8,1018,2088,2284.88,0,American Express,City-46,Travel,40,Purchase at Merchant-2088,0,6,1,0,40,5,0
9,1095,2077,3952.73,0,American Express,City-45,Groceries,43,Purchase at Merchant-2077,0,6,1,0,39,1,1
10,1014,2031,8362.04,0,Visa,City-25,Restaurant,55,Purchase at Merchant-2031,0,6,1,3,17,3,0
11,1087,2052,2974.23,1,MasterCard,City-29,Retail,70,Purchase at Merchant-2052,0,6,1,2,21,4,1
12,1095,2031,4128.7,0,Discover,City-45,Travel,27,Purchase at Merchant-2031,0,6,1,1,39,5,1
13,1070,2015,6409.54,1,American Express,City-30,Restaurant,46,Purchase at Merchant-2015,0,6,1,0,23,3,1
14,1012,2020,2190.4,1,Visa,City-19,Gas Station,34,Purchase at Merchant-2020,0,6,1,3,10,0,1
15,1076,2025,2516.99,1,MasterCard,City-13,Retail,41,Purchase at Merchant-2025,0,6,1,2,4,4,1
16,1055,2004,3454.14,1,Discover,City-25,Retail,19,Purchase at Merchant-2004,0,6,1,1,17,4,1
17,1005,2032,2415.3,1,Visa,City-4,Online Shopping,41,Purchase at Merchant-2032,0,6,1,3,33,2,0
18,1004,2040,79.76,0,Visa,City-17,Restaurant,64,Purchase at Merchant-2040,0,6,1,3,8,3,0
19,1012,2060,8906.66,1,Visa,City-35,Travel,62,Purchase at Merchant-2060,0,6,1,3,28,5,1
20,1028,2063,6838.47,1,Discover,City-40,Groceries,44,Purchase at Merchant-2063,0,6,1,1,34,1,1
21,1030,2072,2821.68,1,MasterCard,City-1,Groceries,57,Purchase at Merchant-2072,0,6,1,2,0,1,1
22,1065,2056,1621.03,0,MasterCard,City-38,Retail,40,Purchase at Merchant-2056,0,6,1,2,31,4,0
23,1078,2055,625.58,0,Visa,City-34,Online Shopping,60,Purchase at Merchant-2055,0,6,1,3,27,2,0
24,1004,2083,4944.29,1,Discover,City-22,Retail,51,Purchase at Merchant-2083,0,6,1,1,14,4,1
25,1072,2005,9027.91,0,Visa,City-39,Groceries,28,Purchase at Merchant-2005,0,6,1,3,32,1,0
26,1026,2026,613.44,1,MasterCard,City-10,Travel,42,Purchase at Merchant-2026,0,6,1,2,1,5,0
27,1092,2021,7558.94,0,Visa,City-29,Restaurant,23,Purchase at Merchant-2021,0,6,1,3,21,3,0
28,1084,2035,4306.65,1,American Express,City-7,Groceries,45,Purchase at Merchant-2035,0,6,1,0,47,1,1
29,1090,2018,6743.61,1,American Express,City-17,Groceries,65,Purchase at Merchant-2018,0,6,1,0,8,1,0
30,1070,2004,8987.41,0,MasterCard,City-15,Online Shopping,55,Purchase at Merchant-2004,0,6,1,2,6,2,1
31,1054,2034,4464.86,1,MasterCard,City-44,Gas Station,24,Purchase at Merchant-2034,0,6,1,2,38,0,1
32,1029,2036,9771.9,1,American Express,City-27,Online Shopping,30,Purchase at Merchant-2036,0,6,1,0,19,2,1
33,1058,2085,6748.27,1,Discover,City-37,Retail,35,Purchase at Merchant-2085,0,6,1,1,30,4,1
34,1076,2071,3190.8,0,Visa,City-50,Gas Station,32,Purchase at Merchant-2071,0,6,1,3,45,0,0
35,1036,2023,7716.15,1,MasterCard,City-18,Online Shopping,58,Purchase at Merchant-2023,0,6,1,2,9,2,1
36,1001,2083,9145.62,1,MasterCard,City-31,Retail,66,Purchase at Merchant-2083,0,6,1,2,24,4,1
37,1098,2006,6983.78,0,MasterCard,City-17,Restaurant,51,Purchase at Merchant-2006,0,6,1,2,8,3,0
38,1021,2093,6059.01,1,Visa,City-39,Travel,61,Purchase at Merchant-2093,0,6,1,3,32,5,1
39,1090,2063,9593.37,0,American Express,City-14,Groceries,66,Purchase at Merchant-2063,0,6,1,0,5,1,0
40,1055,2003,5696.32,0,Discover,City-41,Online Shopping,22,Purchase at Merchant-2003,0,6,1,1,35,2,0
41,1044,2008,7274.22,0,American Express,City-20,Online Shopping,27,Purchase at Merchant-2008,0,6,1,0,12,2,0
42,1036,2011,3197.45,1,Visa,City-50,Restaurant,66,Purchase at Merchant-2011,0,6,1,3,45,3,1
43,1020,2041,3587.54,1,Discover,City-31,Gas Station,39,Purchase at Merchant-2041,0,6,1,1,24,0,1
44,1028,2078,8111.54,0,American Express,City-25,Online Shopping,53,Purchase at Merchant-2078,0,6,1,0,17,2,1
45,1098,2039,3710.73,0,Discover,City-45,Groceries,21,Purchase at Merchant-2039,0,6,1,1,39,1,0
46,1044,2009,3009.47,0,Visa,City-34,Restaurant,29,Purchase at Merchant-2009,0,6,1,3,27,3,0
47,1014,2053,4895.98,1,MasterCard,City-35,Groceries,38,Purchase at Merchant-2053,0,6,1,2,28,1,0
48,1012,2047,5463.71,1,MasterCard,City-38,Online Shopping,43,Purchase at Merchant-2047,0,6,1,2,31,2,1
49,1049,2086,7452.24,0,MasterCard,City-14,Retail,28,Purchase at Merchant-2086,0,6,1,2,5,4,0
50,1013,2085,2288.84,1,Visa,City-46,Online Shopping,23,Purchase at Merchant-2085,0,6,1,3,40,2,1
51,1046,2012,1713.82,0,Visa,City-33,Groceries,56,Purchase at Merchant-2012,0,6,1,3,26,1,0
52,1045,2051,6911.74,1,Discover,City-27,Retail,46,Purchase at Merchant-2051,0,6,1,1,19,4,1
53,1078,2093,4103.23,0,Visa,City-6,Travel,35,Purchase at Merchant-2093,0,6,1,3,46,5,0
54,1034,2018,8800.95,0,American Express,City-26,Retail,48,Purchase at Merchant-2018,0,6,1,0,18,4,0
55,1006,2031,3250.43,0,Visa,City-41,Restaurant,45,Purchase at Merchant-2031,0,6,1,3,35,3,0
56,1094,2015,7964.55,1,Discover,City-48,Groceries,21,Purchase at Merchant-2015,0,6,1,1,42,1,1
57,1059,2074,9452.68,1,American Express,City-6,Groceries,37,Purchase at Merchant-2074,0,6,1,0,46,1,1
58,1069,2095,4038.38,0,Visa,City-45,Groceries,64,Purchase at Merchant-2095,0,6,1,3,39,1,0
59,1016,2065,8688.14,1,MasterCard,City-34,Retail,37,Purchase at Merchant-2065,0,6,1,2,27,4,1
60,1049,2016,4649.28,0,American Express,City-43,Retail,21,Purchase at Merchant-2016,0,6,1,0,37,4,0
61,1011,2067,1535.32,1,Visa,City-31,Groceries,37,Purchase at Merchant-2067,0,6,1,3,24,1,1
62,1071,2086,7381.21,0,MasterCard,City-30,Groceries,27,Purchase at Merchant-2086,0,6,1,2,23,1,0
63,1038,2075,3861.79,0,Visa,City-25,Restaurant,35,Purchase at Merchant-2075,0,6,1,3,17,3,0
64,1081,2100,9496.84,0,Visa,City-20,Online Shopping,24,Purchase at Merchant-2100,0,6,1,3,12,2,1
65,1080,2068,8734.88,1,Discover,City-47,Gas Station,36,Purchase at Merchant-2068,0,6,1,1,41,0,1
66,1047,2033,7884.77,1,Discover,City-21,Online Shopping,27,Purchase at Merchant-2033,0,6,1,1,13,2,1
67,1074,2064,3820.76,0,Discover,City-34,Restaurant,62,Purchase at Merchant-2064,0,6,1,1,27,3,0
68,1025,2012,8703.8,0,American Express,City-44,Online Shopping,61,Purchase at Merchant-2012,0,6,1,0,38,2,0
69,1091,2031,1502.35,0,Discover,City-4,Restaurant,44,Purchase at Merchant-2031,0,6,1,1,33,3,0
70,1009,2077,3663.44,0,American Express,City-35,Retail,38,Purchase at Merchant-2077,0,6,1,0,28,4,0
